| Authors                                   | Year | Topic / RQ                                                                                                                                                                                                                                                                                                  | Main outcomes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Data                                                                                                                              | Data type       | Location                                   | No obs                                                                          | DV                                                                                                                                                                                 | Model                                                                                                                                                                                                                                                                    |
|-------------------------------------------|------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------|-----------------|--------------------------------------------|---------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Thomas, Stillwell & Gould                 | 2016 | Residential duration and future relocation                                                                                                                                                                                                                                                                  | planning of relocation increase initially with duration of stay and then decline as length of duration increasesevidence of strong geographical variationwider neighbourhood dynamics (such as neighbourhood population instability) mediate duration-of-stay effects                                                                                                                                                                                                                                                                       | Commercial survey sample of individuals                                                                                           | Cross sectional | England and Wales                          | 224164 individuals7192 MSOAs346 LADs33 city regions                             | individual planning to move 0 or 1                                                                                                                                                 | - Multilevel model approach with individuals being nested within residential neighbourhoods- Multilevel logistic regression with random intercepts and random coefficients                                                                                               |
| Yi & Kim                                  | 2018 | residential relocation distance of HH, using ML                                                                                                                                                                                                                                                             | - large number of residential movements mainly related to accessibility of labour markets and some HH characteristics- shortest movements for HH with >2 members moving into densely populated districts- farther: job-based residential movements- DT better than OLS in terms of explanatory power and estimation of moving distance                                                                                                                                                                                                      | Microdata from Internal Migration Statistics                                                                                      | cross sectional | South Korea, Seoul Metropolitan Region     | 209252 residential movement data samples. 10% of raw data were randomly sampled | relocation distance                                                                                                                                                                | OLSDecision Tree                                                                                                                                                                                                                                                         |
| Lee & Chun                                | 2016 | Residential relocation in Metropolitan area                                                                                                                                                                                                                                                                 | - public transportation access is an attractive factor, people tend not to move out from those areas- increase of land value at destinations is less attractive economically for residential relocation- positive association to college graduation rate at origins                                                                                                                                                                                                                                                                         |                                                                                                                                   |                 | Seoul Metropolitan Area, South Korea       |                                                                                 | Count of number of migrants from origin to destination                                                                                                                             | - Spatial interaction model with Poisson regression and negative binominal regression- eigenvector spatial filtering to account for network autocorrelation in residential relocation flows- include offset term to control population sizes at origins and destinations |
| Borth & Symmers                           | 2018 | - establish different segments of homebuyers' preferences that provide insight into their choices regarding home location decision-making- groups based on shared opinions regarding location choice and location efficiency (as opposed to sociodemographic and socio economic characteristics)            | - three groups:1)  location aware group: strong desire for location efficiency2) new suburban group: concentrated on the value of their homes increasing and residing in new suburban neighbourhoods3) mature suburban group: concerned with large yards, abundant space between homes and established neighbourhoods                                                                                                                                                                                                                       | sorted Q statements                                                                                                               |                 | Edmonton, Canada                           | 30 HH with a total of 39 participants                                           |                                                                                                                                                                                    | Q method factor analysis                                                                                                                                                                                                                                                 |
| Reades, Souza & Hubbard                   | 2019 | Analysis of socio-economic transition used to predict areas with uplift or decline by 2021 using ML --> gentrification?                                                                                                                                                                                     | - emphasis on property price for measurement of neighbourhood status- continuing uplift in Inner East London and spread of this process to Outer Boroughs- changes in status strongly associated with house prices, proportion of males and females in work >30 h a week, household incomes and the share of knowledge workers, homeworks and professionals                                                                                                                                                                                 | 2001 and 2011 Census data                                                                                                         | panel data      | London neighbourhoods                      | 4835 neighbourhoods                                                             | Neighbourhood status: household income + property sale value +  occupational share + qualifications -> through PCA into a single measure of socio economic status of neighbourhood | random forests                                                                                                                                                                                                                                                           |
| Li, Dodson & Sipe                         | 2018 | investigate how increased hh transport costs interact with housing costs- explore spatial relationship between hh transport fuel costs and direct spending on housing- areas of hh under the highest pressure from transport costs and housing costs- how rising fuel prices affect hh housing location     | - location affects level of household expenditure - hh spend an increasing proportion of their income on transport fuel as moving away from CBD, higher car dependency                                                                                                                                                                                                                                                                                                                                                                      | - hh transport costs- household income- monthly hh expenditure on mortgages and rent- hh consumption of fuel for private vehicles |                 | Brisbane, Australia                        |                                                                                 |                                                                                                                                                                                    | spatial analysis                                                                                                                                                                                                                                                         |
| Coulter & Scott                           | 2015 | (1) How do expressed reasons for desiring to move vary over the life course?(2) Which reasons for desiring to move are most likely to be followed by residential mobility?(3) How do life events affect the relationship between moving desires and subsequent moving behaviour?                            | - highly targeted reasons for desiring to move more likely to lead to actual move- push vs pull factors- importance of biographical timing of mobility decision-making: highly targeted motives important for young single movers, more diffuse  motives more salient for midlife couples- limited evidence for consistent gender differences                                                                                                                                                                                               | - 18 waves of longitudinal data by British HH Panel Survey                                                                        | panel data      | UK                                         | 183807 person-years provided by 23579 individuals                               | mobility (1 move, 0 no move)                                                                                                                                                       | Cross tabulationFixed effect logistic regression                                                                                                                                                                                                                         |
| Sanchez & Andrews                         | 2011 | Patterns of residential mobility across OECD countries and role of public policy in enhancing or hampering residential mobility                                                                                                                                                                             | - differences across countries are associated with differences in government intervention- residential mobility higher in countries with lower transaction costs in buying and selling a property- high rent controls and greater security of tenure = lower residential mobility- higher with greater access to credit                                                                                                                                                                                                                     | - household survey data from each OECD country, 2007- data on policies drawn from OECD cross-country comparable indicators        | Cross sectional | 25 OECD countries                          |                                                                                 | Probability to change residence for household head i in country c                                                                                                                  | Probit regression                                                                                                                                                                                                                                                        |
| Namazi-Rad et al                          | 2016 | estimation of probability of an event which triggers household relocation- main attributes are change in household income, household configuration, tenure of HH                                                                                                                                            | - existing difference between the supply and demand in the number of bedrooms has a positive effect on residential mobility- household income has a positive effect on the residential mobility- the tenure has a negative effect, meaning that generally, the longer Australian people live in a place the less likely they are to move. - model consider the area effects but also considers the effects of time and repeated measurements- couple families with children and lone parents with children aged over 15 are relocating more | - survey data 2001 - 2011                                                                                                         | Longitudinal    | SLA in Australia                           |                                                                                 | probability of a HH to choose to relocate and initiate the relocation process                                                                                                      | Unit-level mixed effects discrete-choice logit model: inclusion of area-specific mixed effects together with effect of repeated measurements                                                                                                                             |
| Jordan, Birkin& Evans                     | 2014 | Assessing impact of urban regeneration policy, case study on deprived district in Leeds                                                                                                                                                                                                                     | - introduction of mixed tenure housing development appears likely to be successful in improving socioeconomic mix, can result in gentrification                                                                                                                                                                                                                                                                                                                                                                                             | 2001 Census data as basis for synthetic list of households                                                                        |                 | Leeds, UK                                  |                                                                                 |                                                                                                                                                                                    | ABM                                                                                                                                                                                                                                                                      |
| Morris                                    | 2017 | investigate the impact of major family life events and attitudes towards the living environment on subsequent mobility including temporal aspects                                                                                                                                                           | - while broad demographic and socioeconomic characteristics are strong predictors of mobility, the occurrence of life events and opinions of the living environment are vital for a full understanding of mobility patterns- live events are robust predictors of residential mobility                                                                                                                                                                                                                                                      | 1991, 1992 birth cohort study, survey data                                                                                        | Longitudinal    | South West England                         | 8976 families                                                                   | residential move in most recent period                                                                                                                                             | multilevel recurrent-event history approach                                                                                                                                                                                                                              |
| Thomas, Stillwell & Gould                 | 2016 | Analyse different characteristics of movers vs stayers at broad stages in the life course, exploring role of several selective demographic and socio-economic factors as well as more personal / subjective characteristics of individuals such as neighbourhood satisfaction and plans for future mobility | - recent movers who own their homes are more likely to have chosen a residential environment that more closely matches their housing, lifestyle and consumption desires- recent movers are less likely to plan a further move- decision to change residence is clearly influenced by variety of divers yet interdepend individual, household and contextual influences, life course transitions and key life course events                                                                                                                  | Survey data, between 2005 and 2007                                                                                                | Longitudinal    | Great Britain                              | 348953 records                                                                  | propensity to move                                                                                                                                                                 | 4 logistic regression models for different life stages                                                                                                                                                                                                                   |
| van der Vlist, Gorter, Nijkamp & Rietveld | 2003 | variations in mobility rates across local housing markets by examining the linkage of mobility rates at the household level to the structure of local housing markets                                                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                                                                                                                   |                 |                                            |                                                                                 |                                                                                                                                                                                    |                                                                                                                                                                                                                                                                          |
| Clark, Deurloo & Dieleman                 | 2010 | to what extent households trade up in house quality, or neighbourhood quality or both, as outcomes of residential mobility                                                                                                                                                                                  | household mobility is mainly a process about improving dwelling quality and housing consumption, neighbourhoods matter in the choice process                                                                                                                                                                                                                                                                                                                                                                                                | Netherlands National Housing Survey 1998                                                                                          | Cross sectional | four digit postcal code level, Netherlands | 32444 HH                                                                        | multinominal : making gains in both dwelling and neighbourhood, in dwelling quality only, or in neighbourhood quality only or making no improvements with the move.                | Multinomnal logistic regressionCross tabulation                                                                                                                                                                                                                          |
